nr,branch,depth,acc,prec,rec,f1,train_acc,overfit
1,Gałąź 1,1,0.7731,0.7792,0.7731,0.7756,0.7778,NIE
2,Gałąź 1,4,0.7937,0.7872,0.7937,0.7885,0.8094,NIE
3,Gałąź 1,7,0.7971,0.7907,0.7971,0.7918,0.8355,NIE
4,Gałąź 1,10,0.7844,0.7768,0.7844,0.7782,0.8824,TAK
5,Gałąź 1,13,0.7693,0.7638,0.7693,0.7658,0.9383,TAK
6,Gałąź 1,17,0.7539,0.7495,0.7539,0.7513,0.9823,TAK
7,Gałąź 1,20,0.7465,0.7454,0.7465,0.7459,0.9951,TAK
8,Gałąź 1,23,0.7420,0.7406,0.7420,0.7413,0.9993,TAK
9,Gałąź 1,26,0.7439,0.7427,0.7439,0.7433,1.0000,TAK
10,Gałąź 1,30,0.7439,0.7427,0.7439,0.7433,1.0000,TAK
11,Gałąź 2,1,0.7731,0.7792,0.7731,0.7756,0.7778,NIE
12,Gałąź 2,4,0.7937,0.7872,0.7937,0.7885,0.8094,NIE
13,Gałąź 2,7,0.7952,0.7875,0.7952,0.7866,0.8271,NIE
14,Gałąź 2,10,0.7863,0.7778,0.7863,0.7778,0.8550,TAK
15,Gałąź 2,13,0.7774,0.7682,0.7774,0.7690,0.8923,TAK
16,Gałąź 2,17,0.7612,0.7523,0.7612,0.7546,0.9394,TAK
17,Gałąź 2,20,0.7531,0.7463,0.7531,0.7488,0.9656,TAK
18,Gałąź 2,23,0.7456,0.7417,0.7456,0.7434,0.9837,TAK
19,Gałąź 2,26,0.7403,0.7367,0.7403,0.7383,0.9935,TAK
20,Gałąź 2,30,0.7409,0.7398,0.7409,0.7403,0.9983,TAK
21,Gałąź 3,1,0.7731,0.7792,0.7731,0.7756,0.7778,NIE
22,Gałąź 3,4,0.7912,0.7834,0.7912,0.7789,0.7964,NIE
23,Gałąź 3,7,0.7912,0.7834,0.7912,0.7789,0.7964,NIE
24,Gałąź 3,10,0.7912,0.7834,0.7912,0.7789,0.7964,NIE
25,Gałąź 3,13,0.7912,0.7834,0.7912,0.7789,0.7964,NIE
26,Gałąź 3,17,0.7912,0.7834,0.7912,0.7789,0.7964,NIE
27,Gałąź 3,20,0.7912,0.7834,0.7912,0.7789,0.7964,NIE
28,Gałąź 3,23,0.7912,0.7834,0.7912,0.7789,0.7964,NIE
29,Gałąź 3,26,0.7912,0.7834,0.7912,0.7789,0.7964,NIE
30,Gałąź 3,30,0.7912,0.7834,0.7912,0.7789,0.7964,NIE
